"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","919","Check get products related by: slug","API Tests","2026-08-07","passed","2026-08-07","Get Products","Products","",""
"","209","Check an existing product update","API Tests","2026-08-07","skipped","2026-08-07","Update Products","Products","",""
"","175","Check an existing category update, with all body fields","API Tests","2026-08-07","passed","2026-08-07","Update Categories","Categories","",""
"","200","Check invalid user login: non-existent email value","API Tests","2026-08-07","passed","2026-08-07","User Login","Auth","",""
"","192","Check an existing user update, without email field","API Tests","2026-08-07","passed","2026-08-07","Update Users","Users","",""
"","97","Check invalid retrieving user profile: ","API Tests","2026-08-07","passed","2026-08-07","Retrieving User Profile","Auth","",""
"","29","Check get single category by id","API Tests","2026-08-07","passed","2026-08-07","Get Categories","Categories","",""
"","35","Check get list of all categories","API Tests","2026-08-07","passed","2026-08-07","Get Categories","Categories","",""
"","118","Check get a non-existing user ","API Tests","2026-08-07","passed","2026-08-07","Get Users","Users","",""
"","119","Check invalid user login: non email as email field value","API Tests","2026-08-07","passed","2026-08-07","User Login","Auth","",""
"","116","Check get a non-existing product by slug","API Tests","2026-08-07","passed","2026-08-07","Get Products","Products","",""
"","237","Check a non-existing user update","API Tests","2026-08-07","passed","2026-08-07","Update Users","Users","",""
"","66","Check retrieving user profile","API Tests","2026-08-07","passed","2026-08-07","Retrieving User Profile","Auth","",""
"","142","Check get list of all users","API Tests","2026-08-07","passed","2026-08-07","Get Users","Users","",""
"","121","Check get products with limit query param","API Tests","2026-08-07","passed","2026-08-07","Get Products","Products","",""
"","193","Check a new user creation","API Tests","2026-08-07","passed","2026-08-07","Create Users","Users","",""
"","305","Check a non-existing user update","API Tests","2026-08-07","passed","2026-08-07","Update Categories","Categories","",""
"","111","Check get a non-existing category by slug","API Tests","2026-08-07","passed","2026-08-07","Get Categories","Categories","",""
"","29","Check get single category by slug","API Tests","2026-08-07","passed","2026-08-07","Get Categories","Categories","",""
"","119","Check invalid user login: password field is null","API Tests","2026-08-07","passed","2026-08-07","User Login","Auth","",""
"","32","Check login as user","API Tests","2026-08-07","passed","2026-08-07","User Login","Auth","",""
"","122","Check get a non-existing product by ID","API Tests","2026-08-07","passed","2026-08-07","Get Products","Products","",""
"","36","Check get all products by category when category have 0 products","API Tests","2026-08-07","passed","2026-08-07","Get Categories","Categories","",""
"","114","Check a non-existing product deletion","API Tests","2026-08-07","passed","2026-08-07","Delete Products","Products","",""
"","107","Check get products with limit and offset query param","API Tests","2026-08-07","passed","2026-08-07","Get Products","Products","",""
"","59","Check an existing user update, without name","API Tests","2026-08-07","passed","2026-08-07","Update Users","Users","",""
"","128","Check invalid user login: email field is null","API Tests","2026-08-07","passed","2026-08-07","User Login","Auth","",""
"","210","Check invalid retrieving user profile: ","API Tests","2026-08-07","passed","2026-08-07","Retrieving User Profile","Auth","",""
"","99","Check refresh access token","API Tests","2026-08-07","passed","2026-08-07","Refreshing Access Token","Auth","",""
"","29","Check get product by ID","API Tests","2026-08-07","passed","2026-08-07","Get Products","Products","",""
"","1037","Check get products related by: id","API Tests","2026-08-07","passed","2026-08-07","Get Products","Products","",""
"","31","Check an existing category update, without name field","API Tests","2026-08-07","passed","2026-08-07","Update Categories","Categories","",""
"","198","Check an existing category update, without image field","API Tests","2026-08-07","passed","2026-08-07","Update Categories","Categories","",""
"","59","Check an existing user deletion","API Tests","2026-08-07","passed","2026-08-07","Delete Users","Users","",""
"","94","Check a non-existing user deletion","API Tests","2026-08-07","passed","2026-08-07","Delete Users","Users","",""
"","95","Check get all products","API Tests","2026-08-07","passed","2026-08-07","Get Products","Products","",""
"","59","Check an existing product deletion","API Tests","2026-08-07","passed","2026-08-07","Delete Products","Products","",""
"","1008","Check a new category creation category without whitespaces","API Tests","2026-08-07","passed","2026-08-07","Create Categories","Categories","",""
"","112","Check a non-existing category deletion","API Tests","2026-08-07","passed","2026-08-07","Delete Categories","Categories","",""
"","270","Check a new category creation category with whitespaces","API Tests","2026-08-07","passed","2026-08-07","Create Categories","Categories","",""
"","30","Check get product by slug","API Tests","2026-08-07","passed","2026-08-07","Get Products","Products","",""
"","102","Check get a non-existing category by id","API Tests","2026-08-07","passed","2026-08-07","Get Categories","Categories","",""
"","147","Check get products with offset query param","API Tests","2026-08-07","passed","2026-08-07","Get Products","Products","",""
"","64","Check an existing category deletion","API Tests","2026-08-07","passed","2026-08-07","Delete Categories","Categories","",""
"","1219","Check get all products by category","API Tests","2026-08-07","passed","2026-08-07","Get Categories","Categories","",""
"","209","Check an existing user update, with all body fields","API Tests","2026-08-07","passed","2026-08-07","Update Users","Users","",""
"","203","Create a new product creation","API Tests","2026-08-07","passed","2026-08-07","Create Products","Products","",""
"","29","Check get user information","API Tests","2026-08-07","passed","2026-08-07","Get Users","Users","",""
