"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","142","Check get a non-existing category by slug","API Tests","2026-08-18","passed","2026-08-18","Get Categories","Categories","",""
"","111","Check invalid user login: non email as email field value","API Tests","2026-08-18","passed","2026-08-18","User Login","Auth","",""
"","65","Check an existing category deletion","API Tests","2026-08-18","passed","2026-08-18","Delete Categories","Categories","",""
"","207","Check a new user creation","API Tests","2026-08-18","passed","2026-08-18","Create Users","Users","",""
"","33","Check get all products by category when category have 0 products","API Tests","2026-08-18","passed","2026-08-18","Get Categories","Categories","",""
"","32","Check get single category by slug","API Tests","2026-08-18","passed","2026-08-18","Get Categories","Categories","",""
"","89","Check get a non-existing product by slug","API Tests","2026-08-18","passed","2026-08-18","Get Products","Products","",""
"","107","Check get a non-existing category by id","API Tests","2026-08-18","passed","2026-08-18","Get Categories","Categories","",""
"","34","Check get single category by id","API Tests","2026-08-18","passed","2026-08-18","Get Categories","Categories","",""
"","263","Check get list of all users","API Tests","2026-08-18","passed","2026-08-18","Get Users","Users","",""
"","75","Check retrieving user profile","API Tests","2026-08-18","passed","2026-08-18","Retrieving User Profile","Auth","",""
"","35","Check get list of all categories","API Tests","2026-08-18","passed","2026-08-18","Get Categories","Categories","",""
"","139","Check invalid user login: password field is null","API Tests","2026-08-18","passed","2026-08-18","User Login","Auth","",""
"","903","Check get products related by: id","API Tests","2026-08-18","passed","2026-08-18","Get Products","Products","",""
"","223","Check invalid retrieving user profile: ","API Tests","2026-08-18","passed","2026-08-18","Retrieving User Profile","Auth","",""
"","114","Check get products with limit and offset query param","API Tests","2026-08-18","passed","2026-08-18","Get Products","Products","",""
"","34","Check get product by slug","API Tests","2026-08-18","passed","2026-08-18","Get Products","Products","",""
"","218","Check get products with offset query param","API Tests","2026-08-18","passed","2026-08-18","Get Products","Products","",""
"","2312","Check get all products by category","API Tests","2026-08-18","passed","2026-08-18","Get Categories","Categories","",""
"","110","Check get all products","API Tests","2026-08-18","passed","2026-08-18","Get Products","Products","",""
"","107","Check refresh access token","API Tests","2026-08-18","passed","2026-08-18","Refreshing Access Token","Auth","",""
"","68","Check an existing user update, without name","API Tests","2026-08-18","passed","2026-08-18","Update Users","Users","",""
"","109","Check get a non-existing user ","API Tests","2026-08-18","passed","2026-08-18","Get Users","Users","",""
"","219","Check a non-existing user update","API Tests","2026-08-18","passed","2026-08-18","Update Users","Users","",""
"","132","Check a non-existing product deletion","API Tests","2026-08-18","passed","2026-08-18","Delete Products","Products","",""
"","162","Check an existing product update","API Tests","2026-08-18","skipped","2026-08-18","Update Products","Products","",""
"","181","Check an existing category update, without image field","API Tests","2026-08-18","passed","2026-08-18","Update Categories","Categories","",""
"","316","Check a new category creation category with whitespaces","API Tests","2026-08-18","passed","2026-08-18","Create Categories","Categories","",""
"","188","Check an existing user update, with all body fields","API Tests","2026-08-18","passed","2026-08-18","Update Users","Users","",""
"","220","Check invalid user login: non-existent email value","API Tests","2026-08-18","passed","2026-08-18","User Login","Auth","",""
"","79","Check an existing product deletion","API Tests","2026-08-18","passed","2026-08-18","Delete Products","Products","",""
"","111","Check get products with limit query param","API Tests","2026-08-18","passed","2026-08-18","Get Products","Products","",""
"","132","Check a non-existing user deletion","API Tests","2026-08-18","passed","2026-08-18","Delete Users","Users","",""
"","94","Check get a non-existing product by ID","API Tests","2026-08-18","passed","2026-08-18","Get Products","Products","",""
"","34","Check get user information","API Tests","2026-08-18","passed","2026-08-18","Get Users","Users","",""
"","71","Check an existing user deletion","API Tests","2026-08-18","passed","2026-08-18","Delete Users","Users","",""
"","859","Check a new category creation category without whitespaces","API Tests","2026-08-18","passed","2026-08-18","Create Categories","Categories","",""
"","219","Check an existing user update, without email field","API Tests","2026-08-18","passed","2026-08-18","Update Users","Users","",""
"","118","Check invalid retrieving user profile: ","API Tests","2026-08-18","passed","2026-08-18","Retrieving User Profile","Auth","",""
"","295","Check a non-existing user update","API Tests","2026-08-18","passed","2026-08-18","Update Categories","Categories","",""
"","29","Check get product by ID","API Tests","2026-08-18","passed","2026-08-18","Get Products","Products","",""
"","169","Check an existing category update, with all body fields","API Tests","2026-08-18","passed","2026-08-18","Update Categories","Categories","",""
"","31","Check an existing category update, without name field","API Tests","2026-08-18","passed","2026-08-18","Update Categories","Categories","",""
"","38","Check login as user","API Tests","2026-08-18","passed","2026-08-18","User Login","Auth","",""
"","151","Create a new product creation","API Tests","2026-08-18","passed","2026-08-18","Create Products","Products","",""
"","154","Check a non-existing category deletion","API Tests","2026-08-18","passed","2026-08-18","Delete Categories","Categories","",""
"","125","Check invalid user login: email field is null","API Tests","2026-08-18","passed","2026-08-18","User Login","Auth","",""
"","1087","Check get products related by: slug","API Tests","2026-08-18","passed","2026-08-18","Get Products","Products","",""
