"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","127","Check invalid user login: password field is null","API Tests","2026-08-11","passed","2026-08-11","User Login","Auth","",""
"","68","Check an existing category deletion","API Tests","2026-08-11","passed","2026-08-11","Delete Categories","Categories","",""
"","88","Check an existing user update, without name","API Tests","2026-08-11","passed","2026-08-11","Update Users","Users","",""
"","352","Create a new product creation","API Tests","2026-08-11","passed","2026-08-11","Create Products","Products","",""
"","1356","Check get all products by category","API Tests","2026-08-11","passed","2026-08-11","Get Categories","Categories","",""
"","112","Check a non-existing product deletion","API Tests","2026-08-11","passed","2026-08-11","Delete Products","Products","",""
"","207","Check get products with offset query param","API Tests","2026-08-11","passed","2026-08-11","Get Products","Products","",""
"","1085","Check get products related by: slug","API Tests","2026-08-11","passed","2026-08-11","Get Products","Products","",""
"","70","Check retrieving user profile","API Tests","2026-08-11","passed","2026-08-11","Retrieving User Profile","Auth","",""
"","332","Check a non-existing user update","API Tests","2026-08-11","passed","2026-08-11","Update Users","Users","",""
"","141","Check a non-existing category deletion","API Tests","2026-08-11","passed","2026-08-11","Delete Categories","Categories","",""
"","40","Check login as user","API Tests","2026-08-11","passed","2026-08-11","User Login","Auth","",""
"","193","Check invalid retrieving user profile: ","API Tests","2026-08-11","passed","2026-08-11","Retrieving User Profile","Auth","",""
"","74","Check get list of all categories","API Tests","2026-08-11","passed","2026-08-11","Get Categories","Categories","",""
"","35","Check get product by slug","API Tests","2026-08-11","passed","2026-08-11","Get Products","Products","",""
"","203","Check an existing user update, with all body fields","API Tests","2026-08-11","passed","2026-08-11","Update Users","Users","",""
"","139","Check get a non-existing category by id","API Tests","2026-08-11","passed","2026-08-11","Get Categories","Categories","",""
"","193","Check invalid user login: non-existent email value","API Tests","2026-08-11","passed","2026-08-11","User Login","Auth","",""
"","123","Check invalid user login: non email as email field value","API Tests","2026-08-11","passed","2026-08-11","User Login","Auth","",""
"","255","Check a non-existing user update","API Tests","2026-08-11","passed","2026-08-11","Update Categories","Categories","",""
"","36","Check an existing category update, without name field","API Tests","2026-08-11","passed","2026-08-11","Update Categories","Categories","",""
"","112","Check get a non-existing user ","API Tests","2026-08-11","passed","2026-08-11","Get Users","Users","",""
"","489","Check a new category creation category with whitespaces","API Tests","2026-08-11","passed","2026-08-11","Create Categories","Categories","",""
"","179","Check an existing product update","API Tests","2026-08-11","skipped","2026-08-11","Update Products","Products","",""
"","38","Check get product by ID","API Tests","2026-08-11","passed","2026-08-11","Get Products","Products","",""
"","121","Check get a non-existing category by slug","API Tests","2026-08-11","passed","2026-08-11","Get Categories","Categories","",""
"","164","Check invalid user login: email field is null","API Tests","2026-08-11","passed","2026-08-11","User Login","Auth","",""
"","174","Check an existing category update, without image field","API Tests","2026-08-11","passed","2026-08-11","Update Categories","Categories","",""
"","215","Check an existing category update, with all body fields","API Tests","2026-08-11","passed","2026-08-11","Update Categories","Categories","",""
"","76","Check an existing user deletion","API Tests","2026-08-11","passed","2026-08-11","Delete Users","Users","",""
"","139","Check get a non-existing product by slug","API Tests","2026-08-11","passed","2026-08-11","Get Products","Products","",""
"","146","Check get all products","API Tests","2026-08-11","passed","2026-08-11","Get Products","Products","",""
"","67","Check an existing product deletion","API Tests","2026-08-11","passed","2026-08-11","Delete Products","Products","",""
"","882","Check a new category creation category without whitespaces","API Tests","2026-08-11","passed","2026-08-11","Create Categories","Categories","",""
"","915","Check get products related by: id","API Tests","2026-08-11","passed","2026-08-11","Get Products","Products","",""
"","153","Check get list of all users","API Tests","2026-08-11","passed","2026-08-11","Get Users","Users","",""
"","136","Check get a non-existing product by ID","API Tests","2026-08-11","passed","2026-08-11","Get Products","Products","",""
"","321","Check an existing user update, without email field","API Tests","2026-08-11","passed","2026-08-11","Update Users","Users","",""
"","40","Check get all products by category when category have 0 products","API Tests","2026-08-11","passed","2026-08-11","Get Categories","Categories","",""
"","111","Check refresh access token","API Tests","2026-08-11","passed","2026-08-11","Refreshing Access Token","Auth","",""
"","242","Check a new user creation","API Tests","2026-08-11","passed","2026-08-11","Create Users","Users","",""
"","100","Check get products with limit query param","API Tests","2026-08-11","passed","2026-08-11","Get Products","Products","",""
"","37","Check get user information","API Tests","2026-08-11","passed","2026-08-11","Get Users","Users","",""
"","108","Check get products with limit and offset query param","API Tests","2026-08-11","passed","2026-08-11","Get Products","Products","",""
"","37","Check get single category by id","API Tests","2026-08-11","passed","2026-08-11","Get Categories","Categories","",""
"","113","Check a non-existing user deletion","API Tests","2026-08-11","passed","2026-08-11","Delete Users","Users","",""
"","124","Check invalid retrieving user profile: ","API Tests","2026-08-11","passed","2026-08-11","Retrieving User Profile","Auth","",""
"","34","Check get single category by slug","API Tests","2026-08-11","passed","2026-08-11","Get Categories","Categories","",""
